experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,sar_frame,persistent_hypothesis_id,parent_hypothesis_ids,branch_status,association_event,support_frames,assembly_id,hypothesis_region,hypothesis_centroid,hypothesis_azimuth,hypothesis_radial,velocity_px,area_ratio_vs_source,single_search_ratio,total_hypothesis_area,total_search_area,total_search_ratio,hypothesis_count,hypothesis_budget_exceeded,notes
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,43,ADJ_0205_TO_0206_c1c_43_02,ADJ_0205_TO_0206_c1c_42_01,candidate_compact_branch,ambiguous_parallel_branch,5,C1C_ADJ_0205_TO_0206_43_a002,"1103.000,1162.000,1127.000,1186.000","1116.431,1175.882",-13.655753,159.317612,"-12.981,20.103",0.051183,0.015151,18664,39822.8328,0.015151,6,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,43,ADJ_0205_TO_0206_c1c_43_03,ADJ_0205_TO_0206_c1c_42_01,candidate_compact_branch,ambiguous_parallel_branch,5,C1C_ADJ_0205_TO_0206_43_a003,"1103.000,1218.000,1119.000,1234.000","1110.068,1225.182",-22.625267,114.230988,"-19.345,69.403",0.022748,0.015151,18664,39822.8328,0.015151,6,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,43,ADJ_0205_TO_0206_c1c_43_04,ADJ_0205_TO_0206_c1c_42_01,candidate_compact_branch,ambiguous_parallel_branch,5,C1C_ADJ_0205_TO_0206_43_a004,"1135.000,1130.000,1263.000,1202.000","1176.019,1159.744",7.249671,174.310349,"46.606,3.965",0.818935,0.015151,18664,39822.8328,0.015151,6,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,43,ADJ_0205_TO_0206_c1c_43_05,ADJ_0205_TO_0206_c1c_42_01,candidate_compact_branch,ambiguous_parallel_branch,5,C1C_ADJ_0205_TO_0206_43_a005,"1303.000,1146.000,1342.000,1170.000","1319.459,1155.214",43.311268,241.215057,"190.046,-0.565",0.083173,0.015151,18664,39822.8328,0.015151,6,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,43,ADJ_0205_TO_0206_c1c_43_06,ADJ_0205_TO_0206_c1c_42_01,candidate_compact_branch,ambiguous_parallel_branch,5,C1C_ADJ_0205_TO_0206_43_a006,"1127.000,1202.000,1207.000,1234.000","1160.367,1221.943",3.288509,110.190536,"30.955,66.164",0.227482,0.015151,18664,39822.8328,0.015151,6,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,44,ADJ_0205_TO_0206_c1c_44_01,ADJ_0205_TO_0206_c1c_42_01,candidate_compact_branch,ambiguous_parallel_branch,5,C1C_ADJ_0205_TO_0206_44_a001,"1119.000,1106.000,1191.000,1154.000","1156.557,1136.054",0.791266,194.963928,"27.144,-19.725",0.307101,0.015151,20912,39822.8328,0.015151,4,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,44,ADJ_0205_TO_0206_c1c_44_02,ADJ_0205_TO_0206_c1c_42_01,candidate_compact_branch,ambiguous_parallel_branch,5,C1C_ADJ_0205_TO_0206_44_a002,"1063.000,1130.000,1111.000,1154.000","1084.012,1140.963",-20.254978,202.363205,"-45.400,-14.816",0.102367,0.015151,20912,39822.8328,0.015151,4,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,44,ADJ_0205_TO_0206_c1c_44_03,ADJ_0205_TO_0206_c1c_42_01,candidate_compact_branch,ambiguous_parallel_branch,5,C1C_ADJ_0205_TO_0206_44_a003,"1103.000,1130.000,1255.000,1234.000","1165.220,1191.576",3.973709,141.787964,"35.808,35.796",1.404701,0.015151,20912,39822.8328,0.015151,4,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,44,ADJ_0205_TO_0206_c1c_44_04,ADJ_0205_TO_0206_c1c_42_01,candidate_compact_branch,ambiguous_parallel_branch,5,C1C_ADJ_0205_TO_0206_44_a004,"1311.000,1146.000,1342.000,1162.000","1321.205,1153.229",43.296677,243.825394,"191.792,-2.550",0.044075,0.015151,20912,39822.8328,0.015151,4,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,45,ADJ_0205_TO_0206_c1c_45_01,ADJ_0205_TO_0206_c1c_42_01,candidate_compact_branch,ambiguous_parallel_branch,5,C1C_ADJ_0205_TO_0206_45_a001,"1063.000,1122.000,1119.000,1154.000","1085.017,1141.827",-20.068302,201.305923,"-44.395,-13.952",0.159237,0.015151,2536,39822.8328,0.015151,2,false,
