sar_frame,min,max,mean,std,p50,p90,p95,p99,nonzero_ratio,saturated_255_ratio,unique_value_count,color_luma_sampled,color_luma_max,color_luma_mean,color_luma_p99
258,0,249,32.19311456,27.82260845,43,64,68,86,0.6071571,0,204,false,,,
259,0,252,30.53031143,26.34275385,40,60,65,82,0.60705771,0,198,false,,,
260,0,255,36.09299997,30.73645453,50,69,74,91,0.60709377,0.0000003248,200,false,,,
261,0,253,33.36913811,28.26467652,46,64,68,83,0.60714736,0,188,false,,,
262,0,249,33.37455536,28.36536775,46,64,68,85,0.60700835,0,187,false,,,
263,0,252,33.69462972,28.53557876,46,64,68,85,0.60727045,0,190,false,,,
264,0,255,31.79755248,27.01325139,44,61,65,80,0.60702264,0.0000003248,185,false,,,
265,0,253,32.16256895,27.26461158,44,61,66,81,0.60716847,0,179,false,,,
266,0,253,34.41813171,29.27430776,47,66,71,87,0.60717659,0,186,false,,,
267,0,252,36.14912085,30.63605541,50,69,74,91,0.6073916,0,191,false,,,
268,0,251,34.8408206,29.6150151,47,67,72,88,0.60714184,0,179,false,,,
269,0,248,33.515899,28.41316598,46,64,68,85,0.60724252,0,183,false,,,
270,0,250,33.32167658,28.34522855,45,64,68,85,0.60709409,0,184,false,,,
271,0,255,32.08260363,27.20414363,44,61,66,81,0.60724674,0.0000003248,178,false,,,
272,0,243,30.37531992,25.85322037,41,58,62,78,0.607123,0,173,false,,,
273,0,250,33.04191373,28.00180138,46,62,67,85,0.60742181,0,185,false,,,
274,0,255,34.27899016,29.14776485,47,66,71,87,0.60733379,0.0000003248,192,false,,,
275,0,253,32.79575864,27.83693109,45,62,67,83,0.60741012,0,184,true,255,150.46370651,253
276,0,253,31.42892429,26.75501454,43,60,65,81,0.60725486,0,175,false,,,
277,0,248,32.38896615,27.51291542,45,62,66,82,0.60745721,0,179,false,,,
278,0,252,29.98866728,25.54559846,41,58,61,78,0.60716782,0,166,false,,,
279,0,253,29.99582444,25.37051135,41,57,61,76,0.60738868,0,171,false,,,
280,0,241,26.44231524,22.45095033,37,51,54,68,0.60710124,0,156,false,,,
281,0,249,29.53384454,25.01311554,41,55,60,75,0.60753126,0,177,false,,,
282,0,253,31.27538884,26.60748597,43,60,64,80,0.60740687,0,180,false,,,
283,0,250,33.09727101,28.10367887,45,64,68,85,0.60759168,0,188,false,,,
284,0,252,31.94390023,27.19990937,44,61,66,82,0.60742181,0,176,false,,,
285,0,255,31.02734638,26.31833741,43,59,64,80,0.60749067,0.0000003248,166,false,,,
286,0,249,34.30535436,29.1993687,47,66,71,88,0.60742441,0,180,false,,,
287,0,249,35.30223894,30.00305002,48,67,73,90,0.60752379,0,185,false,,,
288,0,250,30.16010799,26.08808619,40,59,64,82,0.60722466,0,182,false,,,
289,0,251,33.14160088,28.15280558,45,64,68,86,0.60749814,0,172,false,,,
290,0,253,33.85353792,28.84300161,46,65,69,88,0.60746111,0,175,false,,,
291,0,255,33.79406874,28.67171111,46,65,69,87,0.60760272,0.0000003248,173,false,,,
292,0,255,30.86060447,26.65457478,41,60,65,83,0.60729936,0.0000003248,186,false,,,
293,0,245,31.15654922,26.85539838,41,60,66,86,0.60750008,0,178,false,,,
294,0,253,31.89390335,27.60947543,43,62,67,88,0.60735295,0,182,false,,,
295,0,255,31.12080496,26.87648216,41,60,66,86,0.60752867,0.0000003248,181,false,,,
296,0,245,31.70367589,27.47655026,41,62,67,87,0.60729644,0,191,false,,,
297,0,250,35.76577169,30.35160988,50,68,73,91,0.60766346,0,186,false,,,
298,0,253,31.00302708,26.80655017,41,60,65,86,0.60733899,0,189,false,,,
299,0,255,34.73560512,29.61059632,47,67,72,90,0.60753809,0.0000003248,191,false,,,
300,0,255,32.09459406,27.39799652,44,61,66,83,0.60693754,0.0000003248,179,true,255,148.76019399,253
301,0,251,32.25153433,27.45158731,44,61,66,85,0.60690409,0,180,false,,,
302,0,253,30.5007048,26.02815749,41,59,62,80,0.60657507,0,175,false,,,
303,0,255,30.9268193,26.27330582,43,59,64,81,0.6068479,0.0000003248,174,false,,,
304,0,252,32.45662275,27.68621499,44,62,67,85,0.60673454,0,184,false,,,
305,0,250,35.12226393,29.89596541,48,67,72,91,0.60698236,0,189,false,,,
306,0,251,34.62280764,29.57576166,47,66,71,91,0.60684855,0,191,false,,,
307,0,255,33.2176781,28.28393913,46,64,68,87,0.60699698,0.0000003248,188,false,,,
308,0,253,31.35055956,26.79161199,43,60,65,83,0.60682873,0,180,false,,,
