response_unit_id,sar_frame,threshold_setting,threshold_value,component_count,largest_component_pixels,core_component_persistent,principal_axis_angle_to_range_deg,range_p80_width_m,azimuth_p80_width_m,scale_yaw_feasible,threshold_stability_count,principal_axis_angle_std_deg,range_p80_width_std_m,azimuth_p80_width_std_m,scale_yaw_feasible_fraction
R21B00059,40,positive_weight_q70,16,49,134,true,39.163449,0.967393,0.804893,false,3,0.336645,0.068968,0.043687,0
R21B00059,40,positive_weight_q85,23,28,86,true,39.540591,0.825343,0.747761,false,3,0.336645,0.068968,0.043687,0
R21B00060,40,positive_weight_q50,12,10,115,true,60.360276,0.286822,0.445921,false,3,1.201434,0.015899,0.038576,0
R21B00060,40,positive_weight_q70,18,13,35,true,58.991494,0.26847,0.435413,false,3,1.201434,0.015899,0.038576,0
R21B00060,40,positive_weight_q85,24,11,15,true,57.41971,0.247898,0.359341,false,3,1.201434,0.015899,0.038576,0
R21B00061,40,positive_weight_q50,11,399,2491,true,0.268819,2.517267,1.478021,true,3,0.269709,0.316631,0.090796,0.333333
R21B00061,40,positive_weight_q70,17,239,1192,true,0.487214,2.101682,1.405918,false,3,0.269709,0.316631,0.090796,0.333333
R21B00061,40,positive_weight_q85,27,106,554,true,0.91799,1.742363,1.259765,false,3,0.269709,0.316631,0.090796,0.333333
R21B00062,46,positive_weight_q50,10,559,2242,true,29.153665,3.117311,2.469174,true,3,0.849669,0.017965,0.026292,1
R21B00062,46,positive_weight_q70,17,361,1272,true,28.805416,3.088262,2.416628,true,3,0.849669,0.017965,0.026292,1
R21B00062,46,positive_weight_q85,28,219,454,true,27.202531,3.074159,2.410653,true,3,0.849669,0.017965,0.026292,1
R21B00063,52,positive_weight_q50,10,231,2359,true,69.28781,1.594024,3.230617,true,3,0.244015,0.030308,0.18784,1
R21B00063,52,positive_weight_q70,16,164,1103,true,68.833379,1.574698,3.031083,true,3,0.244015,0.030308,0.18784,1
R21B00063,52,positive_weight_q85,27,98,315,true,68.724345,1.522284,2.7718,true,3,0.244015,0.030308,0.18784,1
R21B00064,52,positive_weight_q50,11,9,50,true,85.857605,0.157981,0.163049,false,3,18.143337,0.018332,0.020147,0
R21B00064,52,positive_weight_q70,25.2,1,35,true,48.633504,0.132638,0.13348,false,3,18.143337,0.018332,0.020147,0
R21B00064,52,positive_weight_q85,38.6,5,13,true,46.219672,0.113206,0.114049,false,3,18.143337,0.018332,0.020147,0
R21B00065,52,positive_weight_q50,8,8,36,true,86.753998,0.068522,0.300436,false,3,0.355636,0.003595,0.073671,0
R21B00065,52,positive_weight_q70,15,10,19,true,86.040678,0.061414,0.209026,false,3,0.355636,0.003595,0.073671,0
R21B00065,52,positive_weight_q85,23.5,3,13,true,86.830382,0.060466,0.119985,false,3,0.355636,0.003595,0.073671,0
R21B00066,52,positive_weight_q50,10,231,2359,true,69.28781,1.594024,3.230617,true,3,0.244015,0.030308,0.18784,1
R21B00066,52,positive_weight_q70,16,164,1103,true,68.833379,1.574698,3.031083,true,3,0.244015,0.030308,0.18784,1
R21B00066,52,positive_weight_q85,27,98,315,true,68.724345,1.522284,2.7718,true,3,0.244015,0.030308,0.18784,1
R21B00067,60,positive_weight_q50,10,101,682,true,79.133328,0.571602,1.056629,false,3,1.021145,0.113956,0.096359,0
R21B00067,60,positive_weight_q70,17,63,349,true,76.671597,0.471961,0.914609,false,3,1.021145,0.113956,0.096359,0
R21B00067,60,positive_weight_q85,24,38,182,true,77.518761,0.29597,0.822353,false,3,1.021145,0.113956,0.096359,0
R21B00068,60,positive_weight_q50,7,35,107,true,77.044594,0.405194,0.654944,false,3,2.950183,0.01063,0.041939,0
R21B00068,60,positive_weight_q70,10,47,16,true,81.626332,0.395582,0.597746,false,3,2.950183,0.01063,0.041939,0
R21B00068,60,positive_weight_q85,14,37,7,true,84.175076,0.379431,0.552444,false,3,2.950183,0.01063,0.041939,0
R21B00069,77,positive_weight_q50,14,93,1277,true,74.572524,0.760129,2.134922,false,3,0.921596,0.016873,0.078994,0
R21B00069,77,positive_weight_q70,22,74,464,true,76.021629,0.735669,1.995051,false,3,0.921596,0.016873,0.078994,0
R21B00069,77,positive_weight_q85,33,38,213,true,76.796109,0.719046,1.949196,false,3,0.921596,0.016873,0.078994,0
R21B00070,77,positive_weight_q50,11,386,2938,true,80.299297,1.993532,1.832825,false,3,2.078886,0.081912,0.097923,0
R21B00070,77,positive_weight_q70,15,333,890,true,76.984156,1.946761,1.695938,false,3,2.078886,0.081912,0.097923,0
R21B00070,77,positive_weight_q85,21,262,411,true,75.29429,1.801173,1.593803,false,3,2.078886,0.081912,0.097923,0
R21B00071,77,positive_weight_q50,8,23,157,true,62.162912,0.309212,0.553367,false,3,1.439471,0.03565,0.032983,0
R21B00071,77,positive_weight_q70,14,17,102,true,61.467587,0.268749,0.530147,false,3,1.439471,0.03565,0.032983,0
R21B00071,77,positive_weight_q85,25.85,5,35,true,64.808866,0.221965,0.474741,false,3,1.439471,0.03565,0.032983,0
R21B00072,77,positive_weight_q50,9,27,338,true,40.825258,0.634554,0.598032,false,3,1.424989,0.014121,0.031951,0
