response_unit_id,source_response_box_id,source_r1_family_id,sar_frame,core_atom_ids,optional_atom_ids,core_bbox,conservative_bbox,uncertain_envelope,response_state
R21B00101,R21B00101,R21R1F00074,81,R21A00084,R21A00083;R21A00086,"1302,1133,1314,1145","1302,1133,1314,1145","1200,1133,1314,1241",local_response_unit_not_complete_vehicle
R21B00102,R21B00102,R21R1F00075,81,R21A00085,R21A00083;R21A00086,"1176,1241,1212,1271","1176,1241,1212,1271","1176,1175,1272,1271",local_response_unit_not_complete_vehicle
R21B00103,R21B00103,R21R1F00076,81,R21A00086,R21A00083;R21A00084;R21A00085,"1242,1175,1272,1187","1242,1175,1272,1187","1176,1133,1314,1271",local_response_unit_not_complete_vehicle
R21B00104,R21B00104,R21R1F00073,81,R21A00083;R21A00085,R21A00084;R21A00086,"1176,1181,1260,1271","1176,1181,1260,1271","1176,1133,1314,1271",local_response_unit_not_complete_vehicle
R21B00105,R21B00105,R21R1F00077,212,R21A00087,R21A00088,"957,1126,1132,1240","957,1126,1132,1240","957,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00106,R21B00106,R21R1F00077,212,R21A00088,R21A00087,"1005,1210,1023,1240","1005,1210,1023,1240","957,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00107,R21B00107,R21R1F00077,212,R21A00087;R21A00088,,"957,1126,1132,1240","957,1126,1132,1240","957,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00108,R21B00108,R21R1F00078,213,R21A00089,R21A00090;R21A00091,"981,1126,1132,1240","981,1126,1132,1240","963,1126,1132,1246",local_response_unit_not_complete_vehicle
R21B00109,R21B00109,R21R1F00079,213,R21A00090,R21A00089;R21A00091,"963,1150,987,1180","963,1150,987,1180","963,1126,1132,1246",local_response_unit_not_complete_vehicle
R21B00110,R21B00110,R21R1F00080,213,R21A00091,R21A00089;R21A00090,"1005,1210,1023,1246","1005,1210,1023,1246","963,1126,1132,1246",local_response_unit_not_complete_vehicle
R21B00111,R21B00111,R21R1F00078,213,R21A00089;R21A00091,R21A00090,"981,1126,1132,1246","981,1126,1132,1246","963,1126,1132,1246",local_response_unit_not_complete_vehicle
R21B00112,R21B00112,R21R1F00081,216,R21A00092,R21A00093,"975,1126,1131,1240","975,1126,1131,1240","975,1126,1131,1240",local_response_unit_not_complete_vehicle
R21B00113,R21B00113,R21R1F00081,216,R21A00093,R21A00092,"1017,1216,1035,1240","1017,1216,1035,1240","975,1126,1131,1240",local_response_unit_not_complete_vehicle
R21B00114,R21B00114,R21R1F00081,216,R21A00092;R21A00093,,"975,1126,1131,1240","975,1126,1131,1240","975,1126,1131,1240",local_response_unit_not_complete_vehicle
R21B00115,R21B00115,R21R1F00082,220,R21A00094,R21A00095,"1011,1126,1132,1240","1011,1126,1132,1240","993,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00116,R21B00116,R21R1F00083,220,R21A00095,R21A00094,"993,1156,1017,1174","993,1156,1017,1174","993,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00117,R21B00117,R21R1F00084,224,R21A00096,R21A00097;R21A00098,"1005,1126,1132,1234","1005,1126,1132,1234","1005,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00118,R21B00118,R21R1F00085,224,R21A00097,R21A00096;R21A00098,"1041,1210,1065,1240","1041,1210,1065,1240","1005,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00119,R21B00119,R21R1F00086,224,R21A00098,R21A00096;R21A00097,"1011,1228,1029,1240","1011,1228,1029,1240","1005,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00120,R21B00120,R21R1F00084,224,R21A00096;R21A00097,R21A00098,"1005,1126,1132,1240","1005,1126,1132,1240","1005,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00121,R21B00121,R21R1F00084,224,R21A00096;R21A00098,R21A00097,"1005,1126,1132,1240","1005,1126,1132,1240","1005,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00122,R21B00122,R21R1F00085,224,R21A00097;R21A00098,R21A00096,"1011,1210,1065,1240","1011,1210,1065,1240","1005,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00123,R21B00123,R21R1F00084,224,R21A00096;R21A00097;R21A00098,,"1005,1126,1132,1240","1005,1126,1132,1240","1005,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00124,R21B00124,R21R1F00087,227,R21A00099,R21A00100;R21A00101,"1017,1126,1132,1234","1017,1126,1132,1234","1017,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00125,R21B00125,R21R1F00088,227,R21A00100,R21A00099;R21A00101,"1047,1204,1077,1240","1047,1204,1077,1240","1017,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00126,R21B00126,R21R1F00089,227,R21A00101,R21A00099;R21A00100,"1023,1228,1041,1240","1023,1228,1041,1240","1017,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00127,R21B00127,R21R1F00087,227,R21A00099;R21A00100,R21A00101,"1017,1126,1132,1240","1017,1126,1132,1240","1017,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00128,R21B00128,R21R1F00090,228,R21A00102,R21A00103;R21A00104,"1023,1126,1132,1240","1023,1126,1132,1240","1023,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00129,R21B00129,R21R1F00090,228,R21A00103,R21A00102;R21A00104,"1053,1204,1083,1240","1053,1204,1083,1240","1023,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00130,R21B00130,R21R1F00091,228,R21A00104,R21A00102;R21A00103,"1023,1228,1041,1240","1023,1228,1041,1240","1023,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00131,R21B00131,R21R1F00090,228,R21A00102;R21A00103,R21A00104,"1023,1126,1132,1240","1023,1126,1132,1240","1023,1126,1132,1240",local_response_unit_not_complete_vehicle
R21B00132,R21B00132,R21R1F00092,238,R21A00105,R21A00106,"1051,1135,1177,1255","1051,1135,1177,1255","1051,1135,1177,1255",local_response_unit_not_complete_vehicle
R21B00133,R21B00133,R21R1F00093,238,R21A00106,R21A00105,"1063,1231,1075,1243","1063,1231,1075,1243","1051,1135,1177,1255",local_response_unit_not_complete_vehicle
