atom_id,sar_frame,pixel_centroid_x,pixel_centroid_y,azimuth,radial,pixel_area,support_pixel_count,support_bbox,integrated_energy,mean_energy,peak_energy,relative_energy_within_local_field,atom_axis1,atom_axis2,atom_aspect_ratio,atom_orientation,compactness,local_arc_consistency,boundary_contact,extraction_threshold,threshold_provenance,source_shell_provenance
R1A0126,243,1080.125,1237.1875,-38.321236,119.131386,16,16,"1075.000,1231.000,1087.000,1243.000",1725,107.8125,131,0.001023,13.862584,4.385063,3.161319,-9.493363,0.111111,0.358995,false,95,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0127,250,1146.203072,1206.520478,-3.356958,125.896568,1172,1172,"1099.000,1135.000,1201.000,1255.000",132837,113.34215,239,0.082722,115.978297,77.024037,1.505742,73.490283,0.095752,0,true,91,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0128,250,1205.6875,1143.1875,15.425512,194.462524,16,16,"1195.000,1135.000,1218.000,1153.000",1526,95.375,104,0.00095,19.592079,11.219793,1.746207,35.215917,0.038647,0.56006,true,91,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0129,250,1193.117647,1178.588235,14.443532,157.026169,17,17,"1183.000,1165.000,1201.000,1189.000",1666,98,125,0.001037,22.468886,16.763995,1.340306,77.350548,0.039352,0,false,91,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0130,259,1155.07446,1195.851882,0.898779,136.781097,1249,1249,"1107.000,1138.000,1209.000,1258.000",89068,71.311449,173,0.081259,140.581981,87.966689,1.598127,72.772898,0.102042,0,true,60,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0131,259,1202,1156.076923,15.363356,181.137955,26,26,"1191.000,1144.000,1215.000,1174.000",1689,64.961538,74,0.001541,39.610606,28.242192,1.402533,-61.881545,0.036111,0,false,60,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0132,259,1235.709677,1142.806452,23.512396,204.845551,31,31,"1227.000,1138.000,1251.000,1150.000",2042,65.870968,78,0.001863,17.702615,11.399029,1.552993,18.658487,0.107639,0.892099,true,60,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0133,259,1225.833333,1179.416667,25.517517,167.5923,24,24,"1215.000,1168.000,1239.000,1204.000",1579,65.791667,83,0.001441,42.640605,10.532722,4.048394,64.350261,0.027778,0.134756,false,60,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0134,259,1202.081301,1219.674797,23.487034,121.220009,123,123,"1191.000,1198.000,1233.000,1234.000",8557,69.569106,107,0.007807,39.635317,31.545172,1.256462,65.354154,0.081349,0.068456,false,60,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0135,260,1159.897375,1194.246619,2.614283,139.374588,1257,1257,"1107.000,1138.000,1239.000,1258.000",97074,77.22673,185,0.08273,139.834758,112.6905,1.240874,74.394394,0.079356,0,true,65,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
