atom_id,sar_frame,candidate_role,graph_role_class,support_bbox,centroid_x,centroid_y,persistent_part_track_id
R21A00165,281,body_core_candidate,core_member_candidate,"1169,1212,1223,1266",1192.225564,1234.93609,R21PT0018
R21A00166,281,endpoint_hotspot_candidate,core_member_candidate,"1271,1200,1283,1230",1276.254902,1213.745098,
R21A00167,281,isolated_small_atom,optional_support_candidate,"1265,1140,1301,1158",1277,1147.9375,
R21A00168,284,unresolved_atom,core_member_candidate,"1115,1140,1301,1236",1216.67907,1179.303101,R21PT0018
R21A00169,284,body_core_candidate,core_member_candidate,"1175,1206,1235,1266",1201.553991,1232.924883,R21PT0016
R21A00170,284,isolated_small_atom,optional_support_candidate,"1283,1200,1289,1218",1286.666667,1207.47619,
R21A00171,284,isolated_small_atom,optional_support_candidate,"1301,1140,1307,1146",1303.866667,1142.4,
R21A00172,284,isolated_small_atom,optional_support_candidate,"1319,1194,1331,1200",1325.642857,1195.857143,
R21A00173,288,unresolved_atom,core_member_candidate,"1146,1138,1308,1228",1239.309009,1176.29009,R21PT0019
R21A00174,288,body_core_candidate,core_member_candidate,"1200,1192,1224,1240",1209.380952,1227.934524,R21PT0018
R21A00175,288,isolated_small_atom,optional_support_candidate,"1230,1228,1248,1240",1239.666667,1235.515152,
R21A00176,288,isolated_small_atom,optional_support_candidate,"1170,1246,1206,1270",1185.5,1259.909091,
R21A00177,289,unresolved_atom,core_member_candidate,"1146,1138,1308,1228",1242.842061,1175.603041,
R21A00178,289,body_core_candidate,core_member_candidate,"1200,1210,1224,1240",1213.617647,1229.252941,R21PT0019
R21A00179,289,side_ridge_candidate,core_member_candidate,"1146,1246,1206,1270",1181.958333,1258.833333,R21PT0018
R21A00180,289,isolated_small_atom,optional_support_candidate,"1242,1228,1248,1240",1244.52381,1235.52381,
R21A00181,289,isolated_small_atom,optional_support_candidate,"1320,1138,1344,1150",1333.1875,1140.8125,
R21A00182,290,unresolved_atom,core_member_candidate,"1146,1138,1314,1228",1242.925659,1174.13749,
R21A00183,290,endpoint_hotspot_candidate,core_member_candidate,"1206,1192,1236,1240",1218.708075,1226.590062,R21PT0019
R21A00184,290,side_ridge_candidate,core_member_candidate,"1146,1246,1206,1282",1176,1259.341772,R21PT0018
