pair_plan_id,pair_type,physical_vehicle_id,frame_a,frame_b,split_a,split_b,aspect_difference_deg,range_difference_m,time_difference_frames,aspect_same_threshold_deg,aspect_different_threshold_deg,similar_range_threshold_m,minimum_time_separation_frames,pair_selection_basis,response_fields_reserved_for_evaluate
E0R3_PAIR_0059,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,389,calibration,posthoc_diagnosis,25.078137,3.806246,74,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0060,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,390,calibration,posthoc_diagnosis,25.554784,3.711883,75,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0061,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,391,calibration,posthoc_diagnosis,25.197899,3.744588,76,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0062,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,392,calibration,posthoc_diagnosis,25.22733,3.532394,77,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0063,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,393,calibration,posthoc_diagnosis,25.911657,3.483255,78,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0064,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,394,calibration,posthoc_diagnosis,26.892843,3.569293,79,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0065,time_nearby_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,319,calibration,calibration,4.075109,0.305576,2,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0066,time_nearby_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,321,calibration,calibration,3.141871,0.669441,4,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0067,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,337,calibration,calibration,16.406237,2.405274,20,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0068,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,338,calibration,calibration,17.433884,2.524947,21,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
