response_unit_id,sar_frame,measurement_region_type,matched_gt_pair_id,matched_gt_instance_id,response_region_bbox,physical_vehicle_id,mask_class,gt_pair_linked_mask_context,frame_only_mask_context,mask_state,actual_fan_pixel_censored,gt_bbox_intersects_invalid_mask,sar_response_touches_mask,sar_response_truncation_direction,multiple_boundary_variant_uncertainty,response_center_radial_px,response_center_azimuth_deg,range_p50_width_px,range_p80_width_px,range_p90_width_px,azimuth_p50_width_px,azimuth_p80_width_px,azimuth_p90_width_px,sar_azimuth_p50_width_deg_approx,sar_azimuth_p80_width_deg_approx,sar_azimuth_p90_width_deg_approx,sar_range_p80_interval_m,sar_cross_range_p80_width_m,absolute_scale_status,scale_blocked_reason
R21B00029,31,core_region,WGV35A_PAIR_0205,317,"1042,1135,1193,1249",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0205,false,false,true,bottom_near_range_mask,false,143.325539,-14.753736,44.073792,84.29691,101.545057,49.163604,100.928977,120.070018,19.653629,40.347341,47.999159,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00030,31,core_region,WGV35A_PAIR_0205,317,"1042,1135,1193,1249",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0205,false,false,true,bottom_near_range_mask,false,143.325539,-14.753736,44.073792,84.29691,101.545057,49.163604,100.928977,120.070018,19.653629,40.347341,47.999159,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00031,31,core_region,WGV35A_PAIR_0205,317,"1042,1135,1114,1243",PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,true,false,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0205,false,false,true,bottom_near_range_mask,true,160.70644,-28.223486,36.404266,71.539137,88.847715,33.417453,61.408864,77.378355,11.91414,21.893763,27.587277,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00032,32,core_region,,,"1102,1135,1192,1249",,,false,false,no_mask_audit_row,false,,,,true,138.776655,-2.89127,53.366324,86.657226,96.967318,28.085415,56.685326,69.366134,11.595435,23.403287,28.638727,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00033,32,core_region,,,"1072,1159,1096,1189",,,false,false,no_mask_audit_row,false,,,,false,171.532971,-24.084582,11.363413,21.039687,25.293097,8.721355,16.163656,19.987994,2.913124,5.399016,6.676429,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00034,32,core_region,,,"1090,1135,1114,1147",,,false,false,no_mask_audit_row,false,,,,false,196.601526,-15.336911,4.821936,8.166773,9.908367,5.786323,12.178949,16.130088,1.686314,3.549323,4.700808,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00035,32,core_region,,,"1048,1225,1060,1243",,,false,false,no_mask_audit_row,false,,,,false,139.03798,-45.990774,2.974727,7.118918,10.47052,4.46209,9.971376,12.750473,1.83877,4.109077,5.254307,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00036,32,core_region,,,"1072,1219,1090,1237",,,false,false,no_mask_audit_row,false,,,,false,125.919657,-35.431888,5.71952,10.341515,12.45715,6.753513,12.676337,15.465417,3.072974,5.767968,7.037052,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00037,32,core_region,,,"1048,1165,1072,1177",,,false,false,no_mask_audit_row,false,,,,false,185.22462,-30.496912,4.969102,10.79986,13.088973,9.324894,15.509817,18.047277,2.884482,4.797672,5.582588,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
R21B00038,32,core_region,,,"1072,1135,1192,1249",,,false,false,no_mask_audit_row,false,,,,true,140.33517,-9.019322,50.949452,85.485342,98.591109,37.828008,80.797992,98.904644,15.444348,32.988052,40.380602,,,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
