edge_id,source_node_id,target_node_id,source_sar_frame,target_sar_frame,geometry_distance,radial_drift,azimuth_drift,extent_continuity_ratio,orientation_difference,energy_ratio,role_compatibility,background_conflict_consistency,edge_status,blocked_reason
R1E0131,R1N0064,R1N0074,77,78,73.725351,60.853027,16.207902,1.618309,28.737966,2.361244,true,true,ambiguous_successors,
R1E0132,R1N0064,R1N0075,77,78,77.928952,29.507645,24.594029,6.232165,20.35306,61.893411,false,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0133,R1N0064,R1N0076,77,78,110.19807,108.40892,13.079921,3.487352,29.087401,29.020445,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0134,R1N0065,R1N0070,77,78,98.020114,46.51561,23.614816,9.864395,36.448884,18.401345,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_extent_jump;blocked_by_energy_jump
R1E0135,R1N0065,R1N0071,77,78,3.883017,2.47142,0.724987,1.291636,1.844484,1.120516,true,true,ambiguous_successors,
R1E0136,R1N0065,R1N0072,77,78,39.415489,39.187988,1.003056,2.984435,59.226803,1.095823,true,true,blocked_by_orientation_jump,blocked_by_orientation_jump
R1E0137,R1N0065,R1N0073,77,78,67.02418,62.999649,6.443811,2.252072,29.446272,1.229821,true,true,ambiguous_successors,
R1E0138,R1N0065,R1N0074,77,78,111.639657,107.739166,8.165886,6.000032,7.807095,7.581558,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_extent_jump;blocked_by_energy_jump
R1E0139,R1N0065,R1N0075,77,78,76.436314,76.393784,0.220242,1.558031,16.192001,3.457364,false,true,blocked_by_radial_azimuth_drift,blocked_by_radial_azimuth_drift;blocked_by_role_incompatibility
R1E0140,R1N0065,R1N0076,77,78,158.038287,155.295059,11.293867,2.784321,7.45766,1.621081,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_role_incompatibility
