edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_compatibility,background_arc_conflict
R2E00220,80,R1A0086,R1A0087,6,30.460645,19.341751,7.217354,85.077711,1.170118,true,false
R2E00221,80,R1A0086,R1A0088,18,36.447476,21.295272,8.154396,44.049689,3.919722,false,false
R2E00222,80,R1A0086,R1A0089,12,69.423289,64.261612,8.355221,63.635815,8.48622,true,false
R2E00223,80,R1A0086,R1A0090,80.721744,130.75322,121.181107,21.970843,84.023949,1.148925,true,false
R2E00224,80,R1A0087,R1A0088,42,66.568692,40.637023,15.37175,41.028022,3.349851,false,false
R2E00225,80,R1A0087,R1A0089,0,46.080237,44.919861,1.137867,21.441896,9.929882,true,false
R2E00226,80,R1A0087,R1A0090,59.093147,107.298535,101.839356,14.753489,10.89834,1.344379,true,false
R2E00227,80,R1A0088,R1A0089,48,99.355716,85.556884,16.509617,19.586126,33.263627,false,false
R2E00228,80,R1A0088,R1A0090,104.785495,157.966554,142.476379,30.125239,51.926362,4.503469,false,false
R2E00229,80,R1A0089,R1A0090,0,61.715097,56.919495,13.615622,32.340236,7.386224,true,false
R2E00230,81,R1A0091,R1A0092,6,101.512826,53.778794,22.897642,41.065213,22.801533,false,true
R2E00231,81,R1A0091,R1A0093,0,59.117817,9.410278,18.688009,0.187988,44.334862,false,true
R2E00232,81,R1A0091,R1A0094,0,70.302442,56.549224,16.679789,24.431563,2.325134,false,true
R2E00233,81,R1A0091,R1A0095,54,111.847137,112.76538,11.074463,15.802575,26.434188,false,true
R2E00234,81,R1A0092,R1A0093,42.426407,65.120435,63.189072,4.209633,40.877225,1.944381,false,false
R2E00235,81,R1A0092,R1A0094,55.317267,113.176984,110.328018,6.217853,16.63365,9.806547,true,false
R2E00236,81,R1A0092,R1A0095,131.590273,169.388409,166.544174,11.823179,25.262638,1.159316,true,false
R2E00237,81,R1A0093,R1A0094,0,48.51455,47.138946,2.00822,24.243575,19.067661,false,false
R2E00238,81,R1A0093,R1A0095,61.773781,104.910973,103.355102,7.613546,15.614587,1.677179,false,false
R2E00239,81,R1A0094,R1A0095,0,56.39673,56.216156,5.605326,8.628988,11.368889,true,false
R2E00240,212,R1A0096,R1A0097,0,59.727233,46.645142,9.363106,89.295925,7.783637,true,false
R2E00241,212,R1A0096,R1A0098,30,65.480497,51.604828,11.584171,64.661019,5.762158,true,false
R2E00242,212,R1A0097,R1A0098,0,65.833223,4.959686,20.947277,24.634906,44.85055,true,false
R2E00243,213,R1A0099,R1A0100,0,68.727685,61.212173,6.839668,28.192813,24.323806,true,false
R2E00244,213,R1A0099,R1A0101,0,36.976866,0.429566,8.742569,34.225409,1.570585,true,false
R2E00245,213,R1A0099,R1A0102,54,86.481489,67.714691,15.060257,43.19283,1.884479,false,false
R2E00246,213,R1A0100,R1A0101,6,86.255598,61.641739,15.582237,6.032596,38.202599,true,false
R2E00247,213,R1A0100,R1A0102,0,68.091373,6.502518,21.899925,15.000017,45.837704,false,false
R2E00248,213,R1A0101,R1A0102,34.985711,71.910003,68.144257,6.317688,8.967421,1.199858,false,false
R2E00249,216,R1A0103,R1A0104,0,62.460796,14.004333,20.602047,16.745155,37.496745,true,false
