response_box_id,core_subgraph_id,sar_frame,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,excluded_atom_ids,core_bbox,conservative_response_bbox,uncertain_envelope_bbox,center_x_px,center_y_px,center_x_m,center_y_m,range_m,azimuth_deg,metric_consistency_error_m,final_annotation_space
R21B00066,R21C00066,52,unresolved,R21A00048;R21A00050,,R21A00051,R21A00049,"1024,1135,1193,1189","1024,1135,1193,1189","1024,1135,1193,1207",1108.5,1162,-1.365,5.058,5.238949,-15.102607,0,sar_image_pixel_domain
R21B00067,R21C00067,60,vehicle_response_box_possible,R21A00053,,R21A00054,R21A00052,"1126,1207,1186,1243","1126,1207,1186,1243","1126,1207,1192,1267",1156,1225,0.06,3.168,3.168568,1.085018,0,sar_image_pixel_domain
R21B00068,R21C00068,60,unresolved,R21A00054,,R21A00053,R21A00052,"1162,1249,1192,1267","1162,1249,1192,1267","1126,1207,1192,1267",1177,1258,0.69,2.178,2.284685,17.578431,0,sar_image_pixel_domain
R21B00069,R21C00069,77,unresolved,R21A00055,,R21A00056;R21A00057;R21A00058;R21A00059;R21A00060,,"1146,1133,1266,1163","1146,1133,1266,1163","1146,1133,1332,1271",1206,1148,1.56,5.478,5.695795,15.895653,0,sar_image_pixel_domain
R21B00070,R21C00070,77,vehicle_response_box_possible,R21A00056,,R21A00055;R21A00057;R21A00058;R21A00060,R21A00059,"1146,1187,1248,1271","1146,1187,1248,1271","1146,1133,1332,1271",1197,1229,1.29,3.048,3.309744,22.939459,0,sar_image_pixel_domain
R21B00071,R21C00071,77,vehicle_part_box_only,R21A00057,,R21A00055;R21A00056;R21A00058;R21A00059;R21A00060,,"1224,1169,1254,1187","1224,1169,1254,1187","1146,1133,1332,1271",1239,1178,2.55,4.578,5.240285,29.118323,0,sar_image_pixel_domain
R21B00072,R21C00072,77,unresolved,R21A00058,,R21A00055;R21A00056;R21A00057;R21A00059;R21A00060,,"1260,1151,1284,1187","1260,1151,1284,1187","1146,1133,1332,1271",1272,1169,3.54,4.848,6.002891,36.136845,0,sar_image_pixel_domain
R21B00073,R21C00073,77,unresolved,R21A00059,,R21A00055;R21A00057;R21A00058;R21A00060,R21A00056,"1284,1133,1302,1145","1284,1133,1302,1145","1146,1133,1332,1199",1293,1139,4.17,5.748,7.101296,35.959749,0,sar_image_pixel_domain
R21B00074,R21C00074,77,unresolved,R21A00060,,R21A00055;R21A00056;R21A00057;R21A00058;R21A00059,,"1296,1175,1332,1199","1296,1175,1332,1199","1146,1133,1332,1271",1314,1187,4.8,4.308,6.449718,48.092024,0,sar_image_pixel_domain
R21B00075,R21C00075,77,unresolved,R21A00055;R21A00056,,R21A00057;R21A00058;R21A00059;R21A00060,,"1146,1133,1266,1271","1146,1133,1266,1271","1146,1133,1332,1271",1206,1202,1.56,3.858,4.161462,22.016172,0,sar_image_pixel_domain
