atom_id,sar_frame,candidate_role,role_rule_provenance,role_inputs,polarity_used,physical_vehicle_id_used,gt_used
R1A0023,32,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=1120;peak=204;axis1=130.69766;axis2=65.272129;compactness=0.109162;arc=0,false,false,false
R1A0024,32,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_31,area=23;peak=94;axis1=24.228162;axis2=8.965465;compactness=0.079861;arc=0.605031,false,false,false
R1A0025,32,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=74;peak=93;axis1=29.300446;axis2=18.449044;compactness=0.102778;arc=0,false,false,false
R1A0026,32,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_31,area=38;peak=136;axis1=13.672646;axis2=6.636713;compactness=0.175926;arc=0.625484,false,false,false
R1A0027,32,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_31,area=37;peak=87;axis1=13.668997;axis2=12.091466;compactness=0.114198;arc=0,false,false,false
R1A0028,34,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=35;peak=94;axis1=18.272542;axis2=3.03978;compactness=0.081019;arc=0.938623,false,false,false
R1A0029,34,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=64;peak=121;axis1=12.736732;axis2=8.892315;compactness=0.296296;arc=0.196587,false,false,false
R1A0030,34,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_31,area=990;peak=199;axis1=131.334419;axis2=61.586185;compactness=0.088235;arc=0,false,false,false
R1A0031,34,side_ridge_candidate,elongated_non_arc_local_ridge; nearest_a1_7r_source_shell_frame_31,area=79;peak=82;axis1=30.040183;axis2=7.668286;compactness=0.121914;arc=0.194781,false,false,false
R1A0032,34,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=55;peak=82;axis1=30.951319;axis2=15.788875;compactness=0.076389;arc=0.196412,false,false,false
R1A0033,34,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_31,area=97;peak=122;axis1=34.850846;axis2=13.799471;compactness=0.112269;arc=0,false,false,false
R1A0034,34,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_31,area=53;peak=102;axis1=14.705697;axis2=12.885031;compactness=0.122685;arc=0.578982,false,false,false
R1A0035,39,side_ridge_candidate,elongated_non_arc_local_ridge; nearest_a1_7r_source_shell_frame_31,area=75;peak=91;axis1=33.902551;axis2=5.10157;compactness=0.130208;arc=0.084394,false,false,false
R1A0036,39,background_arc_candidate,elongated_support_aligned_with_fan_tangent; nearest_a1_7r_source_shell_frame_31,area=126;peak=190;axis1=35.09073;axis2=7.154184;compactness=0.125;arc=0.98869,false,false,false
R1A0037,39,background_arc_candidate,elongated_support_aligned_with_fan_tangent; nearest_a1_7r_source_shell_frame_31,area=125;peak=121;axis1=25.403533;axis2=9.340987;compactness=0.289352;arc=0.83316,false,false,false
R1A0038,39,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_31,area=913;peak=224;axis1=78.72891;axis2=62.431459;compactness=0.097919;arc=0,false,false,false
R1A0039,39,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_31,area=32;peak=81;axis1=25.678043;axis2=4.147607;compactness=0.088889;arc=0.335169,false,false,false
R1A0040,39,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_31,area=37;peak=93;axis1=34.672359;axis2=10.281996;compactness=0.068519;arc=0,false,false,false
R1A0041,39,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_31,area=50;peak=105;axis1=11.761222;axis2=8.925918;compactness=0.154321;arc=0.85625,false,false,false
R1A0042,40,side_ridge_candidate,elongated_non_arc_local_ridge; nearest_a1_7r_source_shell_frame_31,area=224;peak=188;axis1=100.740745;axis2=13.969183;compactness=0.097222;arc=0.415175,false,false,false
R1A0043,40,background_arc_candidate,elongated_support_aligned_with_fan_tangent; nearest_a1_7r_source_shell_frame_31,area=139;peak=136;axis1=27.48932;axis2=10.06184;compactness=0.257407;arc=0.8296,false,false,false
R1A0044,40,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_31,area=26;peak=88;axis1=24.68524;axis2=4.01139;compactness=0.090278;arc=0.265242,false,false,false
R1A0045,40,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_31,area=794;peak=202;axis1=73.923298;axis2=69.283;compactness=0.111674;arc=0,false,false,false
R1A0046,40,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_31,area=97;peak=109;axis1=64.00124;axis2=9.097188;compactness=0.074846;arc=0,false,false,false
R1A0047,46,side_ridge_candidate,elongated_non_arc_local_ridge; nearest_a1_7r_source_shell_frame_31,area=284;peak=176;axis1=84.409229;axis2=12.087039;compactness=0.187831;arc=0.658733,false,false,false
R1A0048,46,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=1071;peak=204;axis1=138.921974;axis2=81.258008;compactness=0.096853;arc=0,false,false,false
R1A0049,46,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_31,area=16;peak=90;axis1=8.838523;axis2=4.649069;compactness=0.222222;arc=0.595016,false,false,false
R1A0050,52,background_arc_candidate,elongated_support_aligned_with_fan_tangent; nearest_a1_7r_source_shell_frame_31,area=617;peak=194;axis1=132.762232;axis2=18.321777;compactness=0.142824;arc=0.800002,false,false,false
R1A0051,52,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_31,area=39;peak=122;axis1=9.088758;axis2=7.194738;compactness=0.25;arc=0.243921,false,false,false
