family_id,response_box_id,core_subgraph_id,sar_frame,member_relation_to_family,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,conservative_response_bbox,uncertain_envelope_bbox
R21R1F00025,R21B00036,R21C00036,32,single_member_family,vehicle_part_box_only,R21A00026,,R21A00022;R21A00023;R21A00024;R21A00025;R21A00027,"1072,1219,1090,1237","1048,1135,1192,1249"
R21R1F00026,R21B00037,R21C00037,32,single_member_family,unresolved,R21A00027,,R21A00022;R21A00023;R21A00024;R21A00025;R21A00026,"1048,1165,1072,1177","1048,1135,1192,1249"
R21R1F00027,R21B00040,R21C00040,34,nested_same_core_variant,vehicle_response_box_possible,R21A00028,,R21A00029;R21A00031;R21A00032;R21A00033,"1108,1135,1193,1267","1036,1135,1193,1267"
R21R1F00027,R21B00047,R21C00047,34,nested_same_core_variant,vehicle_response_box_supported,R21A00028;R21A00029,,R21A00030;R21A00031;R21A00032;R21A00033;R21A00034,"1036,1135,1193,1267","952,1135,1193,1267"
R21R1F00028,R21B00041,R21C00041,34,single_member_family,vehicle_part_box_only,R21A00029,,R21A00028;R21A00030;R21A00031;R21A00032;R21A00033;R21A00034,"1036,1219,1072,1243","952,1135,1193,1267"
R21R1F00029,R21B00042,R21C00042,34,single_member_family,vehicle_part_box_only,R21A00030,,R21A00029;R21A00034,"952,1153,988,1171","952,1141,1072,1243"
R21R1F00030,R21B00043,R21C00043,34,single_member_family,unresolved,R21A00031,,R21A00028;R21A00029;R21A00032;R21A00033;R21A00034,"1102,1135,1120,1147","1018,1135,1193,1267"
R21R1F00031,R21B00044,R21C00044,34,single_member_family,vehicle_part_box_only,R21A00032,,R21A00028;R21A00029;R21A00031;R21A00033;R21A00034,"1078,1219,1102,1237","1018,1135,1193,1267"
R21R1F00032,R21B00045,R21C00045,34,single_member_family,unresolved,R21A00033,,R21A00028;R21A00029;R21A00031;R21A00032;R21A00034,"1072,1165,1102,1189","1018,1135,1193,1267"
R21R1F00033,R21B00046,R21C00046,34,single_member_family,unresolved,R21A00034,,R21A00029;R21A00030;R21A00031;R21A00032;R21A00033,"1018,1141,1042,1159","952,1135,1120,1243"
R21R1F00034,R21B00048,R21C00048,39,high_iou_boundary_variant;nested_same_core_variant,vehicle_response_box_possible,R21A00035,,R21A00039;R21A00040;R21A00041,"1108,1165,1192,1276","1048,1165,1192,1276"
R21R1F00034,R21B00053,R21C00053,39,high_iou_boundary_variant,vehicle_response_box_possible,R21A00035;R21A00039,,R21A00038;R21A00040;R21A00041,"1084,1165,1192,1276","982,1141,1192,1276"
R21R1F00034,R21B00054,R21C00054,39,high_iou_boundary_variant;nested_same_core_variant,vehicle_response_box_possible,R21A00035;R21A00040,,R21A00038;R21A00039;R21A00041,"1048,1165,1192,1276","982,1141,1192,1276"
R21R1F00035,R21B00049,R21C00049,39,single_member_family,vehicle_part_box_only,R21A00038,,R21A00039;R21A00040;R21A00041,"982,1141,1030,1153","982,1141,1114,1231"
R21R1F00036,R21B00050,R21C00050,39,nested_same_core_variant,vehicle_part_box_only,R21A00039,,R21A00035;R21A00038;R21A00040;R21A00041,"1084,1213,1102,1231","982,1141,1192,1276"
R21R1F00036,R21B00055,R21C00055,39,nested_same_core_variant,unresolved,R21A00039;R21A00040,,R21A00035;R21A00038;R21A00041,"1048,1207,1102,1231","982,1141,1192,1276"
R21R1F00037,R21B00051,R21C00051,39,single_member_family,vehicle_part_box_only,R21A00040,,R21A00035;R21A00038;R21A00039;R21A00041,"1048,1207,1078,1225","982,1141,1192,1276"
R21R1F00038,R21B00052,R21C00052,39,single_member_family,unresolved,R21A00041,,R21A00035;R21A00038;R21A00039;R21A00040,"1084,1171,1114,1183","982,1141,1192,1276"
R21R1F00039,R21B00056,R21C00056,40,nested_same_core_variant,vehicle_response_box_possible,R21A00042,,R21A00043;R21A00044;R21A00045;R21A00046,"1114,1171,1193,1261","994,1135,1193,1261"
R21R1F00039,R21B00061,R21C00061,40,nested_same_core_variant,unresolved,R21A00042;R21A00044,,R21A00043;R21A00045;R21A00046,"1114,1135,1193,1261","994,1135,1193,1261"
R21R1F00040,R21B00057,R21C00057,40,single_member_family,vehicle_part_box_only,R21A00043,,R21A00042;R21A00044;R21A00045;R21A00046,"994,1135,1090,1159","994,1135,1193,1261"
R21R1F00041,R21B00058,R21C00058,40,single_member_family,unresolved,R21A00044,,R21A00042;R21A00043;R21A00045;R21A00046,"1138,1135,1168,1153","994,1135,1193,1261"
R21R1F00042,R21B00059,R21C00059,40,single_member_family,vehicle_response_box_possible,R21A00045,,R21A00042;R21A00043;R21A00044;R21A00046,"1054,1207,1108,1237","994,1135,1193,1261"
R21R1F00043,R21B00060,R21C00060,40,single_member_family,unresolved,R21A00046,,R21A00042;R21A00043;R21A00044;R21A00045,"1090,1171,1114,1183","994,1135,1193,1261"
R21R1F00044,R21B00062,R21C00062,46,single_member_family,vehicle_response_box_possible,R21A00047,,,"1030,1135,1193,1255","1030,1135,1193,1255"
