frame_a,frame_b,pair_type,time_delta_frames,aspect_delta_deg,corrected_range_delta_m,axis_pair_reliable,registration_pair_reliable,frame_a_axis_reliability,frame_b_axis_reliability,used_for_identifiability
355,371,different_aspect_similar_range,16,13.856977,0.493519,true,true,HIGH,MEDIUM,true
355,372,different_aspect_similar_range;similar_range_different_aspect,17,16.217298,0.417978,true,true,HIGH,MEDIUM,true
355,373,different_aspect_similar_range;similar_range_different_aspect,18,15.110794,0.469545,true,true,HIGH,MEDIUM,true
355,374,different_aspect_similar_range,19,13.336239,0.475737,true,true,HIGH,MEDIUM,true
355,375,different_aspect_similar_range,20,12.727569,0.556233,true,true,HIGH,MEDIUM,true
355,376,different_aspect_similar_range,21,12.977558,0.518736,true,true,HIGH,MEDIUM,true
355,382,non_adjacent_similar_aspect,27,4.233848,0.286358,true,true,HIGH,MEDIUM,true
355,383,non_adjacent_similar_aspect,28,0.24062,0.148101,true,true,HIGH,MEDIUM,true
355,384,non_adjacent_similar_aspect,29,2.168158,0.204714,true,true,HIGH,MEDIUM,true
355,385,non_adjacent_similar_aspect,30,0.260549,0.046053,true,true,HIGH,MEDIUM,true
355,386,non_adjacent_similar_aspect,31,0.162094,0.034181,true,true,HIGH,MEDIUM,true
355,387,non_adjacent_similar_aspect,32,0.752762,0.023734,true,true,HIGH,MEDIUM,true
355,389,non_adjacent_similar_aspect,34,2.538703,0.0824,true,true,HIGH,MEDIUM,true
355,390,non_adjacent_similar_aspect,35,2.062056,0.176763,true,true,HIGH,MEDIUM,true
355,391,non_adjacent_similar_aspect,36,2.418941,0.144058,true,true,HIGH,MEDIUM,true
355,392,non_adjacent_similar_aspect,37,2.38951,0.356253,true,true,HIGH,MEDIUM,true
355,393,non_adjacent_similar_aspect,38,1.705183,0.405391,true,true,HIGH,MEDIUM,true
355,394,non_adjacent_similar_aspect,39,0.723997,0.319353,true,true,HIGH,MEDIUM,true
356,366,different_aspect_similar_range,10,11.450939,0.357698,true,true,HIGH,HIGH,true
356,367,different_aspect_similar_range,11,10.608458,0.404818,true,true,HIGH,HIGH,true
356,368,different_aspect_similar_range,12,11.286569,0.396181,true,true,HIGH,MEDIUM,true
356,369,different_aspect_similar_range,13,11.198193,0.375769,true,true,HIGH,MEDIUM,true
356,370,different_aspect_similar_range,14,12.107958,0.438093,true,true,HIGH,MEDIUM,true
356,371,different_aspect_similar_range,15,12.363434,0.43289,true,true,HIGH,MEDIUM,true
356,372,different_aspect_similar_range,16,14.723755,0.357349,true,true,HIGH,MEDIUM,true
356,373,different_aspect_similar_range,17,13.617251,0.408916,true,true,HIGH,MEDIUM,true
356,374,different_aspect_similar_range,18,11.842696,0.415108,true,true,HIGH,MEDIUM,true
356,375,different_aspect_similar_range,19,11.234026,0.495604,true,true,HIGH,MEDIUM,true
356,376,different_aspect_similar_range,20,11.484015,0.458107,true,true,HIGH,MEDIUM,true
356,381,non_adjacent_similar_aspect,25,3.571664,0.247937,true,true,HIGH,MEDIUM,true
356,382,non_adjacent_similar_aspect,26,2.740305,0.225729,true,true,HIGH,MEDIUM,true
356,383,non_adjacent_similar_aspect,27,1.252923,0.087472,true,true,HIGH,MEDIUM,true
356,384,non_adjacent_similar_aspect,28,0.674615,0.144085,true,true,HIGH,MEDIUM,true
356,385,non_adjacent_similar_aspect,29,1.754092,0.014576,true,true,HIGH,MEDIUM,true
356,386,non_adjacent_similar_aspect,30,1.331449,0.026448,true,true,HIGH,MEDIUM,true
356,387,non_adjacent_similar_aspect,31,0.740781,0.036895,true,true,HIGH,MEDIUM,true
356,389,non_adjacent_similar_aspect,33,4.032246,0.143029,true,true,HIGH,MEDIUM,true
356,390,non_adjacent_similar_aspect,34,3.555599,0.237392,true,true,HIGH,MEDIUM,true
356,391,non_adjacent_similar_aspect,35,3.912484,0.204687,true,true,HIGH,MEDIUM,true
356,392,non_adjacent_similar_aspect,36,3.883053,0.416882,true,true,HIGH,MEDIUM,true
356,393,non_adjacent_similar_aspect,37,3.198726,0.46602,true,true,HIGH,MEDIUM,true
356,394,non_adjacent_similar_aspect,38,2.21754,0.379982,true,true,HIGH,MEDIUM,true
357,371,different_aspect_similar_range,14,10.117705,0.413358,true,true,HIGH,MEDIUM,true
357,372,different_aspect_similar_range,15,12.478026,0.337816,true,true,HIGH,MEDIUM,true
357,373,different_aspect_similar_range,16,11.371522,0.389383,true,true,HIGH,MEDIUM,true
357,379,non_adjacent_similar_aspect,22,3.547414,0.253387,true,true,HIGH,MEDIUM,true
357,380,non_adjacent_similar_aspect,23,3.245209,0.273338,true,true,HIGH,MEDIUM,true
357,381,non_adjacent_similar_aspect,24,1.325935,0.228404,true,true,HIGH,MEDIUM,true
357,382,non_adjacent_similar_aspect,25,0.494576,0.206196,true,true,HIGH,MEDIUM,true
357,383,non_adjacent_similar_aspect,26,3.498652,0.067939,true,true,HIGH,MEDIUM,true
357,384,non_adjacent_similar_aspect,27,1.571114,0.124552,true,true,HIGH,MEDIUM,true
357,385,non_adjacent_similar_aspect,28,3.999821,0.034109,true,true,HIGH,MEDIUM,true
357,386,non_adjacent_similar_aspect,29,3.577178,0.045981,true,true,HIGH,MEDIUM,true
357,387,non_adjacent_similar_aspect,30,2.98651,0.056428,true,true,HIGH,MEDIUM,true
357,394,non_adjacent_similar_aspect,37,4.463269,0.399515,true,true,HIGH,MEDIUM,true
358,372,different_aspect_similar_range,14,11.746231,0.191426,true,true,HIGH,MEDIUM,true
358,373,different_aspect_similar_range,15,10.639727,0.242992,true,true,HIGH,MEDIUM,true
358,377,non_adjacent_similar_aspect,19,4.63039,0.18524,true,true,HIGH,MEDIUM,true
358,379,non_adjacent_similar_aspect,21,2.815619,0.106997,true,true,HIGH,MEDIUM,true
358,380,non_adjacent_similar_aspect,22,2.513414,0.126947,true,true,HIGH,MEDIUM,true
358,381,non_adjacent_similar_aspect,23,0.59414,0.082014,true,true,HIGH,MEDIUM,true
358,382,non_adjacent_similar_aspect,24,0.237219,0.059805,true,true,HIGH,MEDIUM,true
358,383,non_adjacent_similar_aspect,25,4.230447,0.078451,true,true,HIGH,MEDIUM,true
358,384,non_adjacent_similar_aspect,26,2.302909,0.021839,true,true,HIGH,MEDIUM,true
358,385,non_adjacent_similar_aspect,27,4.731616,0.180499,true,true,HIGH,MEDIUM,true
358,386,non_adjacent_similar_aspect,28,4.308973,0.192371,true,true,HIGH,MEDIUM,true
358,387,non_adjacent_similar_aspect,29,3.718305,0.202818,true,true,HIGH,MEDIUM,true
359,372,different_aspect_similar_range,13,11.384363,0.177157,true,true,HIGH,MEDIUM,true
359,373,different_aspect_similar_range,14,10.277859,0.228723,true,true,HIGH,MEDIUM,true
359,377,non_adjacent_similar_aspect,18,4.268522,0.170971,true,true,HIGH,MEDIUM,true
359,378,non_adjacent_similar_aspect,19,4.721687,0.236837,true,true,HIGH,MEDIUM,true
359,379,non_adjacent_similar_aspect,20,2.453751,0.092728,true,true,HIGH,MEDIUM,true
359,380,non_adjacent_similar_aspect,21,2.151546,0.112678,true,true,HIGH,MEDIUM,true
359,381,non_adjacent_similar_aspect,22,0.232272,0.067745,true,true,HIGH,MEDIUM,true
359,382,non_adjacent_similar_aspect,23,0.599087,0.045536,true,true,HIGH,MEDIUM,true
359,383,non_adjacent_similar_aspect,24,4.592315,0.09272,true,true,HIGH,MEDIUM,true
359,384,non_adjacent_similar_aspect,25,2.664777,0.036108,true,true,HIGH,MEDIUM,true
