family_id,sar_frame,member_box_a,member_box_b,bbox_iou,center_distance_px,core_overlap_ratio,core_subset_relation,relation_type,pairwise_valid,invalid_reason,would_single_link_component,empty_optional_equality_seen
R21R1F00115,269,R21B00164,R21B00164,1,0,1,equal,single_member_family,true,,SL000269_004,false
R21R1F00116,270,R21B00167,R21B00169,0.031674,59.093147,0,none,nested_same_core_variant,true,,SL000270_001,true
R21R1F00116,270,R21B00167,R21B00172,0.85,9,1,a_subset_b,high_iou_boundary_variant,true,,SL000270_001,true
R21R1F00116,270,R21B00167,R21B00173,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000270_001,true
R21R1F00116,270,R21B00167,R21B00174,0.928571,6,1,a_subset_b,high_iou_boundary_variant,true,,SL000270_001,true
R21R1F00116,270,R21B00169,R21B00172,0.026923,56.044625,0,none,nested_same_core_variant,true,,SL000270_001,true
R21R1F00116,270,R21B00169,R21B00173,0.031674,59.093147,1,a_subset_b,nested_same_core_variant,true,,SL000270_001,true
R21R1F00116,270,R21B00169,R21B00174,0.029412,53.665631,0,none,nested_same_core_variant,true,,SL000270_001,true
R21R1F00116,270,R21B00172,R21B00173,0.85,9,0.5,overlap,high_iou_boundary_variant,true,,SL000270_001,true
R21R1F00116,270,R21B00172,R21B00174,0.797834,10.816654,0.5,overlap,high_iou_boundary_variant,true,,SL000270_001,true
R21R1F00116,270,R21B00173,R21B00174,0.928571,6,0.5,overlap,high_iou_boundary_variant,true,,SL000270_001,true
R21R1F00117,270,R21B00168,R21B00168,1,0,1,equal,single_member_family,true,,SL000270_001,false
R21R1F00118,270,R21B00170,R21B00170,1,0,1,equal,single_member_family,true,,SL000270_001,false
R21R1F00119,270,R21B00171,R21B00171,1,0,1,equal,single_member_family,true,,SL000270_002,false
R21R1F00120,271,R21B00175,R21B00177,0.041176,54.083269,0,none,nested_same_core_variant,true,,SL000271_001,true
R21R1F00120,271,R21B00175,R21B00179,0.894737,6,1,a_subset_b,high_iou_boundary_variant,true,,SL000271_001,true
R21R1F00120,271,R21B00175,R21B00180,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000271_001,true
R21R1F00120,271,R21B00175,R21B00182,0.894737,6,1,a_subset_b,high_iou_boundary_variant,true,,SL000271_001,true
R21R1F00120,271,R21B00177,R21B00179,0.036842,51,0,none,nested_same_core_variant,true,,SL000271_001,true
R21R1F00120,271,R21B00177,R21B00180,0.041176,54.083269,1,a_subset_b,nested_same_core_variant,true,,SL000271_001,true
R21R1F00120,271,R21B00177,R21B00182,0.036842,51,1,a_subset_b,nested_same_core_variant,true,,SL000271_001,true
R21R1F00120,271,R21B00179,R21B00180,0.894737,6,0.5,overlap,high_iou_boundary_variant,true,,SL000271_001,true
R21R1F00120,271,R21B00179,R21B00182,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000271_001,true
R21R1F00120,271,R21B00180,R21B00182,0.894737,6,1,a_subset_b,high_iou_boundary_variant,true,,SL000271_001,true
R21R1F00121,271,R21B00176,R21B00181,0.388889,27.658633,1,a_subset_b,nested_same_core_variant,true,,SL000271_001,true
R21R1F00122,271,R21B00178,R21B00178,1,0,1,equal,single_member_family,true,,SL000271_002,false
R21R1F00123,272,R21B00183,R21B00189,0.772727,15,1,a_subset_b,high_iou_boundary_variant,true,,SL000272_001,true
R21R1F00124,272,R21B00184,R21B00184,1,0,1,equal,single_member_family,true,,SL000272_001,false
R21R1F00125,272,R21B00185,R21B00190,0.049412,72.498276,1,a_subset_b,nested_same_core_variant,true,,SL000272_001,true
R21R1F00126,272,R21B00186,R21B00186,1,0,1,equal,single_member_family,true,,SL000272_002,false
R21R1F00127,272,R21B00187,R21B00187,1,0,1,equal,single_member_family,true,,SL000272_003,false
R21R1F00128,272,R21B00188,R21B00188,1,0,1,equal,single_member_family,true,,SL000272_004,false
R21R1F00129,273,R21B00191,R21B00192,0.041667,64.132675,0,none,nested_same_core_variant,true,,SL000273_001,true
R21R1F00129,273,R21B00191,R21B00195,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000273_001,true
R21R1F00129,273,R21B00192,R21B00195,0.041667,64.132675,1,a_subset_b,nested_same_core_variant,true,,SL000273_001,true
R21R1F00130,273,R21B00193,R21B00193,1,0,1,equal,single_member_family,true,,SL000273_002,false
R21R1F00131,273,R21B00194,R21B00194,1,0,1,equal,single_member_family,true,,SL000273_003,false
R21R1F00132,276,R21B00196,R21B00197,0.10181,37.107951,0,none,nested_same_core_variant,true,,SL000276_001,true
R21R1F00132,276,R21B00196,R21B00201,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000276_001,true
R21R1F00132,276,R21B00196,R21B00202,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000276_001,true
R21R1F00132,276,R21B00196,R21B00203,0.343891,34.205263,0,none,nested_same_core_variant,true,,SL000276_001,true
R21R1F00132,276,R21B00197,R21B00201,0.10181,37.107951,1,a_subset_b,nested_same_core_variant,true,,SL000276_001,true
R21R1F00132,276,R21B00197,R21B00202,0.10181,37.107951,0,none,nested_same_core_variant,true,,SL000276_001,true
R21R1F00132,276,R21B00197,R21B00203,0.296053,31.32092,1,a_subset_b,nested_same_core_variant,true,,SL000276_001,true
R21R1F00132,276,R21B00201,R21B00202,1,0,0.5,overlap,exact_duplicate_bbox,true,,SL000276_001,true
