edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_relation,shared_or_compatible_lineage,background_conflict,edge_status
R21GE00091,39,R21A00039,R21A00041,30,45.473825,39.431557,9.280094,32.693699,1.6835,role_ambiguous,false,false,blocked_by_role
R21GE00092,39,R21A00040,R21A00041,24.738634,49.372785,18.809662,17.165207,8.429605,1.187636,role_ambiguous,false,false,blocked_by_role
R21GE00093,40,R21A00042,R21A00043,26.832816,128.280543,98.415398,29.741685,77.829017,3.508215,body_to_side,true,false,ambiguous_relation
R21GE00094,40,R21A00042,R21A00044,18,76.006235,74.687202,1.745573,87.603458,5.653455,unresolved_local_response,true,false,accepted_local_relation
R21GE00095,40,R21A00042,R21A00045,6,72.794629,13.033134,33.264049,82.909989,8.412588,role_ambiguous,false,false,blocked_by_role
R21GE00096,40,R21A00042,R21A00046,0,63.906626,42.520378,19.584039,85.859162,31.477979,role_ambiguous,false,false,blocked_by_role
R21GE00097,40,R21A00043,R21A00044,48,101.958869,23.728195,27.996112,9.774441,1.61149,unresolved_local_response,true,false,ambiguous_relation
R21GE00098,40,R21A00043,R21A00045,48,85.350649,85.382263,3.522364,19.260994,2.397968,body_to_side,true,false,ambiguous_relation
R21GE00099,40,R21A00043,R21A00046,12,64.375732,55.89502,10.157646,16.311821,8.972647,role_ambiguous,false,false,blocked_by_role
R21GE00100,40,R21A00044,R21A00045,61.773781,106.916179,61.654068,31.518476,9.486553,1.488044,unresolved_local_response,true,false,ambiguous_relation
R21GE00101,40,R21A00044,R21A00046,30,63.28702,32.166824,17.838466,6.53738,5.567918,role_ambiguous,false,false,blocked_by_role
R21GE00102,40,R21A00045,R21A00046,24,46.293173,29.487244,13.68001,2.949173,3.741771,role_ambiguous,false,false,blocked_by_role
R21GE00103,52,R21A00048,R21A00049,24,75.907517,77.360291,6.286335,9.209734,2.036407,background_conflict_relation,false,true,blocked_by_background
