independent_geometry_id,scene,sar_frame,member_sar_frames,conservative_bbox,core_bbox,member_response_unit_count,member_response_unit_ids,representative_response_unit_id,measured_once_then_mapped_to_members
GM019IG0087,GM_RM019,34,34,"1102,1135,1120,1147","1102,1135,1120,1147",1,R21B00043,R21B00043,true
GM019IG0088,GM_RM019,32,32,"1102,1135,1192,1249","1102,1135,1192,1249",1,R21B00032,R21B00032,true
GM019IG0089,GM_RM019,269,269,"1107,1138,1245,1246","1107,1138,1245,1246",2,R21B00159;R21B00166,R21B00159,true
GM019IG0090,GM_RM019,269,269,"1107,1138,1245,1258","1107,1138,1245,1258",1,R21B00165,R21B00165,true
GM019IG0091,GM_RM019,272,272,"1107,1138,1251,1240","1107,1138,1251,1240",1,R21B00183,R21B00183,true
GM019IG0092,GM_RM019,272,272,"1107,1138,1251,1270","1107,1138,1251,1270",1,R21B00189,R21B00189,true
GM019IG0093,GM_RM019,272,272,"1107,1138,1257,1240","1107,1138,1257,1240",1,R21B00190,R21B00190,true
GM019IG0094,GM_RM019,270,270,"1107,1138,1263,1240","1107,1138,1263,1240",2,R21B00167;R21B00173,R21B00167,true
GM019IG0095,GM_RM019,270,270,"1107,1138,1263,1258","1107,1138,1263,1258",1,R21B00172,R21B00172,true
GM019IG0096,GM_RM019,270,270,"1107,1138,1275,1240","1107,1138,1275,1240",1,R21B00174,R21B00174,true
GM019IG0097,GM_RM019,271,271,"1107,1138,1287,1240","1107,1138,1287,1240",2,R21B00175;R21B00180,R21B00175,true
GM019IG0098,GM_RM019,271,271,"1107,1138,1287,1252","1107,1138,1287,1252",2,R21B00179;R21B00182,R21B00179,true
GM019IG0099,GM_RM019,34,34,"1108,1135,1193,1267","1108,1135,1193,1267",1,R21B00040,R21B00040,true
GM019IG0100,GM_RM019,39,39,"1108,1165,1192,1276","1108,1165,1192,1276",1,R21B00048,R21B00048,true
GM019IG0101,GM_RM019,40,40,"1114,1135,1193,1261","1114,1135,1193,1261",1,R21B00061,R21B00061,true
GM019IG0102,GM_RM019,40,40,"1114,1171,1193,1261","1114,1171,1193,1261",1,R21B00056,R21B00056,true
GM019IG0103,GM_RM019,273,273,"1115,1140,1259,1266","1115,1140,1259,1266",2,R21B00191;R21B00195,R21B00191,true
